period_start,regionid,fuel,perc
2026-07-17T00:00:00Z,14,hydro,0.4
2026-07-17T00:00:00Z,14,imports,11.4
2026-07-17T00:00:00Z,14,nuclear,0.2
2026-07-17T00:00:00Z,14,other,0
2026-07-17T00:00:00Z,14,solar,0
2026-07-17T00:00:00Z,14,wind,7
2026-07-17T00:00:00Z,15,biomass,11.3
2026-07-17T00:00:00Z,15,coal,0
2026-07-17T00:00:00Z,15,gas,55.2
2026-07-17T00:00:00Z,15,hydro,0
2026-07-17T00:00:00Z,15,imports,7.3
2026-07-17T00:00:00Z,15,nuclear,13.6
2026-07-17T00:00:00Z,15,other,0
2026-07-17T00:00:00Z,15,solar,0
2026-07-17T00:00:00Z,15,wind,12.6
2026-07-17T00:00:00Z,16,biomass,2.8
2026-07-17T00:00:00Z,16,coal,0
2026-07-17T00:00:00Z,16,gas,0
2026-07-17T00:00:00Z,16,hydro,0
2026-07-17T00:00:00Z,16,imports,0
2026-07-17T00:00:00Z,16,nuclear,51.3
2026-07-17T00:00:00Z,16,other,0
2026-07-17T00:00:00Z,16,solar,0
2026-07-17T00:00:00Z,16,wind,45.9
2026-07-17T00:00:00Z,17,biomass,0.1
2026-07-17T00:00:00Z,17,coal,0
2026-07-17T00:00:00Z,17,gas,93.6
2026-07-17T00:00:00Z,17,hydro,0
2026-07-17T00:00:00Z,17,imports,0
2026-07-17T00:00:00Z,17,nuclear,1.3
2026-07-17T00:00:00Z,17,other,0
2026-07-17T00:00:00Z,17,solar,0
2026-07-17T00:00:00Z,17,wind,5
2026-07-17T00:00:00Z,18,biomass,10.2
2026-07-17T00:00:00Z,18,coal,0
2026-07-17T00:00:00Z,18,gas,54.1
2026-07-17T00:00:00Z,18,hydro,1.2
2026-07-17T00:00:00Z,18,imports,7.3
2026-07-17T00:00:00Z,18,nuclear,13.4
2026-07-17T00:00:00Z,18,other,1.2
2026-07-17T00:00:00Z,18,solar,0
2026-07-17T00:00:00Z,18,wind,12.6
2026-07-17T00:30:00Z,1,biomass,0
2026-07-17T00:30:00Z,1,coal,0
2026-07-17T00:30:00Z,1,gas,0
2026-07-17T00:30:00Z,1,hydro,0
2026-07-17T00:30:00Z,1,imports,0
2026-07-17T00:30:00Z,1,nuclear,0
2026-07-17T00:30:00Z,1,other,0
2026-07-17T00:30:00Z,1,solar,0
2026-07-17T00:30:00Z,1,wind,100
2026-07-17T00:30:00Z,2,biomass,3.2
2026-07-17T00:30:00Z,2,coal,0
2026-07-17T00:30:00Z,2,gas,0
2026-07-17T00:30:00Z,2,hydro,0
2026-07-17T00:30:00Z,2,imports,0
2026-07-17T00:30:00Z,2,nuclear,52
2026-07-17T00:30:00Z,2,other,0
2026-07-17T00:30:00Z,2,solar,0
2026-07-17T00:30:00Z,2,wind,44.8
2026-07-17T00:30:00Z,3,biomass,5.8
2026-07-17T00:30:00Z,3,coal,0
2026-07-17T00:30:00Z,3,gas,19.9
2026-07-17T00:30:00Z,3,hydro,0
2026-07-17T00:30:00Z,3,imports,11.2
2026-07-17T00:30:00Z,3,nuclear,46.2
2026-07-17T00:30:00Z,3,other,0
2026-07-17T00:30:00Z,3,solar,0
2026-07-17T00:30:00Z,3,wind,16.9
2026-07-17T00:30:00Z,4,biomass,19.8
2026-07-17T00:30:00Z,4,coal,0
2026-07-17T00:30:00Z,4,gas,0
2026-07-17T00:30:00Z,4,hydro,0
2026-07-17T00:30:00Z,4,imports,44.7
2026-07-17T00:30:00Z,4,nuclear,25.2
2026-07-17T00:30:00Z,4,other,0
2026-07-17T00:30:00Z,4,solar,0
2026-07-17T00:30:00Z,4,wind,10.3
2026-07-17T00:30:00Z,5,biomass,43
2026-07-17T00:30:00Z,5,coal,0
2026-07-17T00:30:00Z,5,gas,25.7
2026-07-17T00:30:00Z,5,hydro,0
2026-07-17T00:30:00Z,5,imports,11
2026-07-17T00:30:00Z,5,nuclear,8.2
2026-07-17T00:30:00Z,5,other,0
2026-07-17T00:30:00Z,5,solar,0
2026-07-17T00:30:00Z,5,wind,12.2
2026-07-17T00:30:00Z,6,biomass,3.4
2026-07-17T00:30:00Z,6,coal,0
2026-07-17T00:30:00Z,6,gas,30.4
2026-07-17T00:30:00Z,6,hydro,0
2026-07-17T00:30:00Z,6,imports,4.4
2026-07-17T00:30:00Z,6,nuclear,37.3
2026-07-17T00:30:00Z,6,other,0
2026-07-17T00:30:00Z,6,solar,0
2026-07-17T00:30:00Z,6,wind,24.4
2026-07-17T00:30:00Z,7,biomass,0
2026-07-17T00:30:00Z,7,coal,0
2026-07-17T00:30:00Z,7,gas,96.9
2026-07-17T00:30:00Z,7,hydro,0
2026-07-17T00:30:00Z,7,imports,0
2026-07-17T00:30:00Z,7,nuclear,0
2026-07-17T00:30:00Z,7,other,0
2026-07-17T00:30:00Z,7,solar,0
2026-07-17T00:30:00Z,7,wind,3.1
2026-07-17T00:30:00Z,8,biomass,4
2026-07-17T00:30:00Z,8,coal,0
2026-07-17T00:30:00Z,8,gas,51.5
2026-07-17T00:30:00Z,8,hydro,0
2026-07-17T00:30:00Z,8,imports,5.1
2026-07-17T00:30:00Z,8,nuclear,25.9
2026-07-17T00:30:00Z,8,other,0
2026-07-17T00:30:00Z,8,solar,0
2026-07-17T00:30:00Z,8,wind,13.4
2026-07-17T00:30:00Z,9,biomass,20.2
2026-07-17T00:30:00Z,9,coal,0
2026-07-17T00:30:00Z,9,gas,63.4
2026-07-17T00:30:00Z,9,hydro,0
2026-07-17T00:30:00Z,9,imports,5.1
2026-07-17T00:30:00Z,9,nuclear,4
2026-07-17T00:30:00Z,9,other,0
2026-07-17T00:30:00Z,9,solar,0
2026-07-17T00:30:00Z,9,wind,7.4
2026-07-17T00:30:00Z,10,biomass,12.6
2026-07-17T00:30:00Z,10,coal,0
2026-07-17T00:30:00Z,10,gas,63
2026-07-17T00:30:00Z,10,hydro,0
2026-07-17T00:30:00Z,10,imports,3.2
2026-07-17T00:30:00Z,10,nuclear,2.4
2026-07-17T00:30:00Z,10,other,0
2026-07-17T00:30:00Z,10,solar,0
2026-07-17T00:30:00Z,10,wind,18.8
2026-07-17T00:30:00Z,11,biomass,0
2026-07-17T00:30:00Z,11,coal,0
2026-07-17T00:30:00Z,11,gas,98.7
2026-07-17T00:30:00Z,11,hydro,0
2026-07-17T00:30:00Z,11,imports,0
2026-07-17T00:30:00Z,11,nuclear,0
2026-07-17T00:30:00Z,11,other,0
2026-07-17T00:30:00Z,11,solar,0
2026-07-17T00:30:00Z,11,wind,1.3
2026-07-17T00:30:00Z,12,biomass,9
2026-07-17T00:30:00Z,12,coal,0
2026-07-17T00:30:00Z,12,gas,68.1
2026-07-17T00:30:00Z,12,hydro,0
